name;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc_de[0];pcm_fftMag_mfcc_de[1];pcm_fftMag_mfcc_de[2];pcm_fftMag_mfcc_de[3];pcm_fftMag_mfcc_de[4];pcm_fftMag_mfcc_de[5];pcm_fftMag_mfcc_de[6];pcm_fftMag_mfcc_de[7];pcm_fftMag_mfcc_de[8];pcm_fftMag_mfcc_de[9];pcm_fftMag_mfcc_de[10];pcm_fftMag_mfcc_de[11];pcm_fftMag_mfcc_de[12];pcm_fftMag_mfcc_de_de[0];pcm_fftMag_mfcc_de_de[1];pcm_fftMag_mfcc_de_de[2];pcm_fftMag_mfcc_de_de[3];pcm_fftMag_mfcc_de_de[4];pcm_fftMag_mfcc_de_de[5];pcm_fftMag_mfcc_de_de[6];pcm_fftMag_mfcc_de_de[7];pcm_fftMag_mfcc_de_de[8];pcm_fftMag_mfcc_de_de[9];pcm_fftMag_mfcc_de_de[10];pcm_fftMag_mfcc_de_de[11];pcm_fftMag_mfcc_de_de[12]
'unknown';0.000000;-3.352077e+01;-1.102914e+01;-7.476920e+00;-1.695575e+01;-1.980857e+01;-1.544268e+01;2.912958e+01;1.793591e+01;3.045084e+01;-1.211363e+01;-1.505186e+01;-1.697888e+01;1.078495e+02;5.240490e-01;-6.870556e-03;-1.628613e+00;-4.533390e-01;1.408660e+00;-3.535068e+00;-1.923895e+00;-1.756667e+00;3.247887e+00;6.041131e+00;6.255149e+00;4.321270e+00;-6.224304e-01;9.977017e-02;6.935681e-01;3.366681e-01;-3.492511e-01;-5.968825e-02;4.067974e-01;1.517871e-01;-7.993999e-01;-7.213135e-01;1.086248e+00;7.529485e-01;1.030747e+00;-5.169791e-01
'unknown';0.010000;-3.390641e+01;-1.001276e+01;-1.343433e+01;-1.887223e+01;-1.403092e+01;-2.733481e+01;2.032788e+01;6.557655e+00;3.778598e+01;2.752103e+00;5.587929e+00;-5.051952e+00;1.072628e+02;9.341084e-01;1.612787e+00;-1.095456e+00;-1.387872e+00;1.392212e+00;-3.559713e+00;-1.054747e+00;-3.304622e+00;2.439331e+00;9.327047e+00;7.644600e+00;6.472048e+00;-1.454163e+00;1.475317e-01;9.997132e-01;8.813572e-01;-2.148283e-01;-5.238703e-01;8.675551e-01;-4.280109e-02;-2.721350e-01;-9.261217e-01;4.164953e-01;4.627969e-01;7.700226e-01;-8.476070e-01
'unknown';0.020000;-3.070770e+01;-1.157168e+01;-1.264128e+01;-1.826420e+01;-1.565410e+01;-2.717195e+01;2.391095e+01;1.484171e+01;4.302271e+01;1.065916e+01;5.903985e+00;-1.335992e+00;1.050308e+02;8.178701e-01;2.651141e+00;-2.118508e-01;-1.732328e+00;1.118443e+00;-1.488758e+00;-1.599534e+00;-4.979690e+00;4.559784e-02;9.829412e+00;9.325166e+00;8.399618e+00;-2.791460e+00;2.490748e-01;1.058819e+00;1.040515e+00;5.206354e-02;-5.177573e-01;5.809545e-01;-6.050830e-01;-6.047249e-03;-1.075555e+00;-6.691126e-01;-2.520016e-01;7.609047e-01;-1.037142e+00
'unknown';0.030000;-3.025676e+01;-2.693933e+00;-1.037202e+01;-2.324088e+01;-1.492475e+01;-2.737661e+01;2.646516e+01;2.959909e+00;3.636156e+01;2.313521e+01;1.269321e+01;7.559918e+00;1.019881e+02;1.114797e+00;3.662690e+00;2.069792e+00;-8.879864e-01;-1.065583e+00;-2.204472e-01;-2.300081e+00;-1.505831e+00;2.184235e-01;6.229467e+00;7.034125e+00;6.132210e+00;-3.775951e+00;3.867670e-01;3.154786e-01;5.162784e-01;6.070929e-01;-2.927228e-01;3.656994e-01;-7.346359e-01;8.669624e-01;-1.082530e+00;-2.506838e+00;-1.371546e+00;3.215316e-01;-1.159344e+00
'unknown';0.040000;-3.125624e+01;-1.432852e+00;-1.006733e+01;-2.343306e+01;-1.376944e+01;-2.286557e+01;1.806327e+01;-5.163658e+00;3.139104e+01;2.684188e+01;2.802133e+01;1.871328e+01;9.652957e+01;1.679079e+00;4.262271e+00;1.991337e+00;-4.429644e-01;4.877128e-02;-2.299928e+00;-4.326643e+00;-2.686299e+00;-1.019434e+00;4.244358e+00;5.300378e+00;8.295713e+00;-4.647247e+00;6.384252e-01;-2.885906e-01;4.329584e-02;1.639472e+00;8.115212e-01;8.197886e-01;2.571554e-01;1.374431e+00;-9.505205e-01;-3.357360e+00;-2.886031e+00;-1.363228e+00;-1.125662e+00
'unknown';0.050000;-2.805815e+01;3.231271e+00;-4.372341e+00;-2.072773e+01;-2.030116e+01;-3.059023e+01;1.175132e+01;9.031181e+00;4.469393e+01;2.580808e+01;2.969988e+01;1.558446e+01;9.263361e+01;2.437339e+00;2.384615e+00;3.843430e-01;1.002910e+00;4.634342e-01;-1.325631e+00;-3.364372e+00;-1.165048e-01;-2.440801e+00;-4.146170e-01;2.799264e+00;8.131659e+00;-6.322992e+00;5.400256e-01;-6.762305e-01;-3.298360e-01;2.537976e+00;2.006742e+00;1.887905e+00;1.039164e+00;-2.061739e-02;-1.201161e+00;-2.866143e+00;-3.258756e+00;-2.589920e+00;-8.438002e-01
'unknown';0.060000;-2.341161e+01;6.777071e+00;-5.684434e+00;-2.173560e+01;-1.272203e+01;-3.706478e+01;9.634660e+00;-1.625423e+00;3.375935e+01;3.054451e+01;2.390254e+01;3.613031e+01;8.647179e+01;3.348725e+00;1.847225e+00;8.473530e-01;5.519582e+00;4.411541e+00;3.162777e+00;2.183888e-01;1.197802e+00;-3.377393e+00;-3.635346e+00;-2.987556e+00;5.837553e-01;-7.146247e+00;2.869141e-01;-1.065970e+00;-6.253998e-01;2.391775e+00;1.143707e+00;2.253488e+00;7.006201e-01;-6.622454e-01;2.943900e-01;-1.819430e+00;-2.796886e+00;-3.638545e+00;5.564941e-01
'unknown';0.070000;-2.199238e+01;5.124180e+00;-1.064175e+01;-1.907506e+01;-1.313128e+01;-2.690516e+01;1.385760e+01;6.082670e-01;2.297340e+01;1.921081e+01;2.874892e+01;3.950970e+01;7.540204e+01;2.980102e+00;1.489060e+00;9.926044e-01;8.820620e+00;6.786742e+00;6.487727e+00;6.232247e-01;-3.550969e+00;-4.608400e+00;-4.161395e+00;-5.115688e+00;-2.961412e+00;-6.745451e+00;-3.114534e-01;-1.253801e+00;-1.096761e+00;7.531883e-01;-3.654491e-01;1.218261e-01;-1.322371e+00;-2.038674e+00;2.260268e+00;-5.731384e-01;-9.572812e-01;-1.782002e+00;2.721593e+00
'unknown';0.080000;-1.754550e+01;6.856818e+00;-2.695859e+00;3.338513e+00;4.703324e+00;-8.894224e+00;1.810207e+01;5.036810e+00;2.536434e+01;1.196379e+01;1.355902e+01;9.669436e+00;6.941412e+01;2.842268e+00;-6.198004e-01;-1.439793e+00;7.607057e+00;2.605654e+00;5.060833e+00;-2.817341e+00;-4.280294e+00;1.536315e+00;-2.979403e+00;-4.726576e+00;-4.350474e+00;-1.653547e+00;-1.023071e+00;-1.833921e+00;-1.772116e+00;-1.906434e+00;-2.478660e+00;-2.765398e+00;-2.716703e+00;-1.993736e+00;2.793315e+00;-4.425719e-01;2.063941e+00;1.786567e+00;4.228550e+00
'unknown';0.090000;-1.609070e+01;1.063670e+01;-9.036064e-01;1.083831e+01;4.919868e+00;-1.223687e+01;1.063373e+01;-1.205478e+01;2.584944e+01;1.429147e+01;9.293198e+00;1.400784e+01;6.743519e+01;1.133300e+00;-2.650876e+00;-3.955888e+00;3.725114e+00;-4.608677e-01;-1.665528e+00;-8.458364e+00;-7.570828e+00;6.403687e+00;-3.608281e+00;-1.117632e+00;1.688761e+00;4.538625e+00;-1.308933e+00;-2.097073e+00;-1.576633e+00;-3.516916e+00;-2.493005e+00;-2.959207e+00;-1.220322e+00;5.437260e-01;2.020533e+00;-3.159972e-01;3.361553e+00;2.618861e+00;4.108288e+00
