name;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc_de[0];pcm_fftMag_mfcc_de[1];pcm_fftMag_mfcc_de[2];pcm_fftMag_mfcc_de[3];pcm_fftMag_mfcc_de[4];pcm_fftMag_mfcc_de[5];pcm_fftMag_mfcc_de[6];pcm_fftMag_mfcc_de[7];pcm_fftMag_mfcc_de[8];pcm_fftMag_mfcc_de[9];pcm_fftMag_mfcc_de[10];pcm_fftMag_mfcc_de[11];pcm_fftMag_mfcc_de[12];pcm_fftMag_mfcc_de_de[0];pcm_fftMag_mfcc_de_de[1];pcm_fftMag_mfcc_de_de[2];pcm_fftMag_mfcc_de_de[3];pcm_fftMag_mfcc_de_de[4];pcm_fftMag_mfcc_de_de[5];pcm_fftMag_mfcc_de_de[6];pcm_fftMag_mfcc_de_de[7];pcm_fftMag_mfcc_de_de[8];pcm_fftMag_mfcc_de_de[9];pcm_fftMag_mfcc_de_de[10];pcm_fftMag_mfcc_de_de[11];pcm_fftMag_mfcc_de_de[12]
'unknown';0.000000;7.648187e+00;-4.981009e+00;6.163549e+00;3.290417e+01;1.163911e+01;2.778451e+00;-5.279135e-01;-3.843920e+00;1.529152e+00;-6.850314e+00;-6.540989e+00;-1.205996e+01;1.158998e+02;-1.790520e+00;7.826573e-01;-1.770417e+00;-1.456408e+00;-5.612842e-01;1.124315e+00;6.473674e-01;1.440260e+00;2.796997e+00;5.252328e+00;4.864044e+00;6.306401e+00;6.390175e-01;4.599842e-01;1.252809e-01;1.141501e+00;5.502117e-01;7.694873e-01;5.287352e-01;-5.367678e-01;-5.591952e-01;-4.431407e-01;-9.353647e-01;-7.765455e-01;-9.160984e-01;-1.547160e-01
'unknown';0.010000;3.400406e+00;-6.270357e+00;1.736345e+00;2.851719e+01;6.178479e+00;7.585303e+00;3.826887e+00;6.582045e+00;3.803989e+00;-4.549433e+00;-4.136948e+00;-1.908409e+00;1.175553e+02;-1.614071e+00;1.600479e+00;-1.119626e-01;-7.346161e-01;5.123550e-01;1.825061e+00;-4.465261e-01;5.448360e-01;2.764956e+00;3.058628e+00;2.962240e+00;4.657786e+00;4.843330e-01;9.885122e-01;-1.823512e-01;1.980848e+00;9.970595e-01;1.376292e+00;8.042434e-01;-7.169251e-01;-1.215018e+00;-9.514214e-01;-1.232129e+00;-1.026037e+00;-1.483283e+00;-3.816729e-01
'unknown';0.020000;8.194783e-01;-4.230492e-01;-4.749348e-01;2.781563e+01;1.156301e+01;5.996598e+00;5.315233e-01;-1.855603e+00;1.437672e+01;1.826089e+01;1.657721e+01;1.439627e+01;1.182672e+02;4.211770e-01;1.000151e+00;3.107860e+00;9.337547e-01;2.749333e+00;3.417617e+00;-1.489525e+00;-9.080039e-01;5.973135e-01;1.672354e+00;1.932218e+00;2.550217e+00;-5.722046e-02;1.081516e+00;-7.447807e-01;1.965987e+00;1.052915e+00;1.263342e+00;6.744226e-01;-4.794368e-01;-1.426161e+00;-1.754750e+00;-1.906028e+00;-1.103991e+00;-1.828037e+00;-4.860653e-01
'unknown';0.030000;2.992184e+00;7.424036e-01;8.922978e+00;3.177537e+01;1.423894e+01;1.029468e+01;-3.290262e+00;-2.113899e+00;8.930151e+00;-4.112772e+00;-3.288888e+00;-1.999141e+00;1.171378e+02;2.046193e+00;-2.378457e-01;5.694682e+00;2.333808e+00;4.664868e+00;3.998881e+00;-1.868812e+00;-3.460698e+00;-8.602683e-01;8.816681e-01;1.199774e+00;7.680795e-01;-9.212281e-01;6.076117e-01;-1.038384e+00;3.410813e-01;5.586182e-02;2.029524e-01;-3.415934e-01;1.110962e-01;-5.209631e-01;-8.388041e-01;-1.039319e+00;-7.852942e-02;-1.075641e+00;-3.065233e-01
'unknown';0.040000;9.958182e+00;-3.486634e+00;1.810953e+01;3.594386e+01;2.135555e+01;1.851185e+01;-4.416963e+00;-4.035968e+00;1.952638e+00;1.293127e+00;2.696070e+00;7.364920e-01;1.158224e+02;1.786926e+00;-2.022084e+00;5.156196e+00;2.273954e+00;3.679171e+00;3.409518e+00;-1.038674e+00;-3.687780e+00;-4.164139e+00;-3.189333e+00;2.253219e-01;-8.889276e-01;-1.088528e+00;-2.710608e-01;-6.714033e-01;-1.298928e+00;-8.892981e-01;-9.993084e-01;-1.192732e+00;3.380803e-01;9.545787e-01;8.640882e-01;3.053986e-02;8.665828e-02;-5.509891e-01;8.759965e-02
'unknown';0.050000;9.062018e+00;-5.927793e+00;2.091752e+01;3.612212e+01;2.460655e+01;2.132208e+01;-3.042931e+00;-9.631263e+00;5.714687e+00;8.342787e+00;8.802494e+00;8.761879e+00;1.141715e+02;7.411128e-01;-2.080325e+00;5.692760e-01;-1.125407e+00;1.062198e+00;1.211439e-01;-1.164703e-01;-6.700913e-01;9.516624e-01;2.928771e-01;3.423041e+00;9.991543e-01;-5.326294e-01;-5.716462e-01;8.542947e-02;-2.036578e+00;-1.333957e+00;-1.488632e+00;-1.686425e+00;7.426719e-02;2.231044e+00;1.712023e+00;8.001272e-01;-1.137869e-01;-3.271732e-01;3.741652e-01
'unknown';0.060000;6.719191e+00;-7.198369e+00;1.930877e+01;3.701202e+01;2.477506e+01;1.753049e+01;-4.785511e+00;-1.653582e+01;-4.836245e+00;-3.913558e+00;1.165813e+01;4.571126e+00;1.143077e+02;-2.815869e-01;-1.435626e+00;-8.240750e-01;-1.783128e+00;-4.458742e-01;-6.071728e-01;-6.752940e-01;2.469586e+00;4.011789e+00;2.119449e+00;1.253876e+00;-3.202662e-01;1.864784e-01;-3.160349e-01;4.752088e-01;-1.428563e+00;-5.925660e-01;-7.165083e-01;-9.200959e-01;-1.317159e-01;1.462054e+00;1.127183e+00;1.136296e+00;-9.353741e-01;-2.525835e-01;3.444729e-01
'unknown';0.070000;8.317244e+00;-7.803353e+00;1.116974e+01;2.561425e+01;1.784017e+01;1.139108e+01;-3.688340e+00;7.855729e-01;1.708290e+01;-4.504361e-02;9.345286e+00;1.079314e+00;1.152320e+02;2.222184e-01;-1.039271e-01;-1.498073e+00;-2.307436e+00;-7.157680e-01;-2.424899e+00;-1.679166e+00;4.615838e+00;3.611884e+00;2.227913e+00;1.165631e-01;-1.152117e+00;3.120949e-01;6.211388e-03;4.753112e-01;-5.603762e-02;6.193474e-01;2.177392e-02;1.600272e-01;4.362922e-01;-4.138988e-01;-1.538032e+00;-4.987748e-01;-1.725703e+00;-4.261054e-01;1.029770e-01
'unknown';0.080000;8.922635e+00;-9.726985e+00;1.886305e+01;3.228215e+01;2.250936e+01;2.044148e+01;-7.470729e+00;3.103545e+00;1.632748e+01;1.608429e+01;8.694054e+00;2.976444e+00;1.162246e+02;4.661988e-01;-6.342382e-01;-9.529463e-01;-9.786167e-02;9.856121e-01;8.205958e-02;-9.159055e-01;9.795230e-01;1.416676e-01;1.524628e+00;-2.798310e+00;-1.076209e+00;2.114739e-01;1.532501e-01;2.253652e-01;2.099790e-01;6.557151e-01;1.176679e-01;1.551082e-01;9.856308e-01;-1.239798e+00;-1.901092e+00;-1.487230e+00;-8.458365e-01;-1.801033e-01;-8.603470e-02
'unknown';0.090000;9.071388e+00;-5.183120e+00;1.365002e+01;2.694987e+01;2.216055e+01;7.742089e+00;-1.009615e+01;3.628240e+00;1.319225e+01;9.483429e+00;1.086735e+01;3.798634e+00;1.147735e+02;3.982768e-01;-1.044630e-01;3.535236e-01;1.128697e+00;4.553244e-01;5.766636e-01;2.185296e+00;-1.994553e+00;-4.803435e+00;-1.903586e+00;-3.179382e+00;-7.534011e-01;-3.024216e-02;1.147199e-01;-5.427287e-02;4.187213e-01;3.855126e-01;-2.884353e-01;4.067699e-02;8.444698e-01;-1.280938e+00;-5.871164e-01;-9.097503e-01;-4.252297e-01;2.158554e-01;-8.546547e-02
