name;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc_de[0];pcm_fftMag_mfcc_de[1];pcm_fftMag_mfcc_de[2];pcm_fftMag_mfcc_de[3];pcm_fftMag_mfcc_de[4];pcm_fftMag_mfcc_de[5];pcm_fftMag_mfcc_de[6];pcm_fftMag_mfcc_de[7];pcm_fftMag_mfcc_de[8];pcm_fftMag_mfcc_de[9];pcm_fftMag_mfcc_de[10];pcm_fftMag_mfcc_de[11];pcm_fftMag_mfcc_de[12];pcm_fftMag_mfcc_de_de[0];pcm_fftMag_mfcc_de_de[1];pcm_fftMag_mfcc_de_de[2];pcm_fftMag_mfcc_de_de[3];pcm_fftMag_mfcc_de_de[4];pcm_fftMag_mfcc_de_de[5];pcm_fftMag_mfcc_de_de[6];pcm_fftMag_mfcc_de_de[7];pcm_fftMag_mfcc_de_de[8];pcm_fftMag_mfcc_de_de[9];pcm_fftMag_mfcc_de_de[10];pcm_fftMag_mfcc_de_de[11];pcm_fftMag_mfcc_de_de[12]
'unknown';0.000000;1.358684e+01;9.586337e-01;2.465419e+01;7.295332e+00;1.219286e+01;9.913399e+00;-1.194484e+01;-1.061873e+01;-7.826594e+00;-7.755377e+00;1.406026e+01;1.141441e+01;1.270352e+02;-1.259815e+00;1.112507e+00;8.344776e-01;3.767704e+00;4.802615e+00;2.824732e+00;5.585478e+00;2.219422e+00;2.632348e+00;3.899975e+00;-2.076862e+00;-1.993453e+00;-1.448513e+00;-5.468191e-01;-6.581802e-01;-2.738158e-01;-5.905119e-01;-7.877723e-01;1.564807e-01;1.611694e-01;1.539418e-01;-2.389752e-01;6.271501e-02;-2.272705e-01;7.722253e-02;-1.483817e-01
'unknown';0.010000;1.551456e+01;7.883977e+00;2.650172e+01;2.098513e+01;2.069781e+01;9.590089e+00;1.987641e+00;-6.230254e+00;-8.422562e+00;-3.797602e+00;3.708303e+00;7.609505e+00;1.253498e+02;-2.530741e+00;1.283342e-01;1.142998e-02;1.988144e+00;2.860198e+00;4.233939e+00;5.882466e+00;2.543537e+00;2.908374e+00;4.565708e+00;-2.852159e+00;-1.837159e+00;-1.903440e+00;-5.270931e-01;-1.195007e+00;-6.150771e-01;-1.135039e+00;-1.897108e+00;-4.238627e-01;-5.010420e-01;-1.774101e-01;-5.299823e-01;-8.066862e-01;-1.962086e-01;-1.366347e-01;3.447212e-02
'unknown';0.020000;6.323900e+00;3.058497e+00;2.790281e+01;1.928895e+01;3.195345e+01;2.419872e+01;9.016310e+00;-1.715862e+00;5.633127e+00;9.765611e+00;8.851930e+00;3.349603e+00;1.206353e+02;-3.358448e+00;-1.686308e+00;-1.230778e-01;1.704924e+00;1.834962e+00;2.902533e+00;6.242831e+00;2.827073e+00;1.299459e+00;3.880684e+00;-2.825567e+00;-1.685488e+00;-1.962958e+00;-4.551148e-02;-1.147501e+00;-9.635664e-01;-1.057698e+00;-2.326510e+00;-1.291278e+00;-1.526129e+00;-7.270595e-01;-6.734874e-01;-1.914061e+00;-5.190307e-01;-9.624711e-01;3.347481e-01
'unknown';0.030000;4.564604e+00;5.503731e-01;2.308703e+01;1.123924e+01;1.661355e+01;2.394043e+01;6.986918e+00;-2.352480e+00;-1.458707e-02;6.312670e+00;2.403631e+00;6.261027e+00;1.207179e+02;-2.845964e+00;-3.463120e+00;-1.762130e+00;-8.761002e-01;-3.199101e+00;6.665186e-01;2.751591e+00;1.028546e+00;6.488804e-01;-1.238097e-01;-2.683553e+00;-2.830610e+00;-1.018930e+00;6.659495e-01;-3.943462e-01;-5.946072e-01;-2.662106e-01;-1.259150e+00;-1.572974e+00;-2.360171e+00;-1.104190e+00;-8.059491e-01;-2.240175e+00;3.890221e-01;-8.482338e-01;5.511659e-01
'unknown';0.040000;2.269577e+00;-3.806103e+00;2.574615e+01;2.069289e+01;2.340980e+01;1.725089e+01;1.676967e+01;1.577745e+00;-5.533288e+00;6.592906e+00;5.847656e-01;3.661214e+00;1.195364e+02;-1.329761e+00;-2.829273e+00;-3.096574e+00;-8.866577e-02;-3.800288e+00;-1.847949e+00;-4.797309e-01;-6.583803e-01;3.946571e-01;-3.325572e+00;-4.756319e+00;-6.309083e+00;-2.170273e-01;9.678516e-01;5.904938e-01;-9.636993e-03;-6.203995e-02;7.707620e-03;-7.848643e-01;-2.620601e+00;-1.529720e+00;-9.400864e-01;-1.628363e+00;9.142971e-01;5.899692e-01;5.233127e-01
'unknown';0.050000;3.311905e+00;-5.999326e+00;1.876941e+01;1.590266e+01;8.974131e+00;1.639660e+01;1.186892e+01;-2.734328e+00;4.050487e-01;-2.830298e+00;-5.575881e+00;-6.699347e+00;1.208047e+02;-2.153369e-01;-1.271914e+00;-1.474858e+00;1.553886e+00;-6.179274e-01;-1.255692e+00;-2.557107e+00;-1.234684e+00;-6.689711e-01;-3.032038e+00;5.832777e-02;-3.766530e+00;-2.057571e-02;7.123750e-01;1.285521e+00;8.357121e-01;1.999791e-01;1.788450e+00;1.981811e-01;-1.397956e+00;-8.303129e-01;-9.248165e-01;5.059491e-02;1.358662e+00;1.999751e+00;1.847376e-01
'unknown';0.060000;3.014443e-01;-7.813019e+00;1.457876e+01;1.651392e+01;1.677172e+01;1.873089e+01;4.176656e+00;-4.816840e+00;7.396595e+00;-2.290768e+00;-1.093991e+01;-2.171563e+01;1.195068e+02;1.654969e-01;1.705582e-01;-3.148987e-01;1.797309e-01;5.829132e-01;-6.068401e-02;-4.205824e+00;-3.689914e+00;-2.742048e+00;-2.807018e+00;3.749785e-01;1.732318e+00;1.544289e-01;3.766279e-01;1.085934e+00;7.871298e-01;-1.844219e-01;1.883226e+00;9.775275e-01;3.689222e-01;4.327844e-02;-6.197757e-01;1.169870e+00;1.369506e+00;2.733759e+00;4.724577e-03
'unknown';0.070000;4.471986e+00;-3.805739e+00;2.129644e+01;2.109816e+01;1.684295e+01;1.692198e+01;4.978900e-01;-5.328609e+00;-9.824385e+00;-4.405683e+00;8.457608e+00;1.167958e-01;1.206298e+02;-3.171756e-02;1.464569e+00;1.025593e+00;-1.040287e-02;3.551550e+00;7.637914e-01;-2.375144e+00;-1.607252e+00;-2.406850e+00;-1.301123e-01;1.544108e+00;3.147446e+00;-2.809700e-01;1.232382e-01;4.127373e-01;2.886651e-02;-2.633798e-01;1.120560e+00;1.027790e+00;1.354721e+00;6.180016e-01;8.739160e-01;1.563867e+00;8.489713e-02;1.220368e+00;-1.153259e-02
'unknown';0.080000;2.517021e+00;-4.050105e+00;2.290814e+01;1.899380e+01;2.238995e+01;1.668478e+01;1.426067e+00;-1.557468e+01;-1.412881e+01;-6.654492e+00;-4.557086e+00;8.914732e+00;1.203959e+02;4.615685e-01;1.232157e+00;-4.111511e-01;-2.286311e-01;3.531104e+00;2.029947e+00;1.273898e+00;-2.557043e-01;-1.835282e+00;1.072816e+00;1.348318e+00;3.902726e+00;-6.320725e-02;1.516763e-01;-1.262003e-01;-2.505788e-01;3.075590e-01;8.981558e-02;4.528313e-01;1.496686e+00;1.615922e+00;1.806222e+00;1.196007e+00;6.669661e-01;-2.737705e-01;5.192322e-02
'unknown';0.090000;2.045529e+00;-5.579376e-01;1.973268e+01;1.461070e+01;2.392277e+01;2.123861e+01;1.368491e+00;-5.391667e+00;-8.664989e-01;-1.298998e+00;-1.046751e+00;-6.277296e+00;1.189553e+02;2.528184e-01;2.609729e-01;-1.282399e+00;4.411674e-01;3.510777e+00;2.837945e+00;1.476635e+00;1.382189e-01;3.247226e+00;2.847378e+00;-3.856468e-03;1.250108e+00;3.057938e-02;9.579289e-02;-5.311115e-01;2.089442e-01;7.452109e-01;-8.038011e-01;-3.385496e-01;6.966522e-01;6.950074e-01;9.227172e-01;2.252737e-01;6.224114e-01;-4.586008e-01;1.793316e-01
