name;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc_de[0];pcm_fftMag_mfcc_de[1];pcm_fftMag_mfcc_de[2];pcm_fftMag_mfcc_de[3];pcm_fftMag_mfcc_de[4];pcm_fftMag_mfcc_de[5];pcm_fftMag_mfcc_de[6];pcm_fftMag_mfcc_de[7];pcm_fftMag_mfcc_de[8];pcm_fftMag_mfcc_de[9];pcm_fftMag_mfcc_de[10];pcm_fftMag_mfcc_de[11];pcm_fftMag_mfcc_de[12];pcm_fftMag_mfcc_de_de[0];pcm_fftMag_mfcc_de_de[1];pcm_fftMag_mfcc_de_de[2];pcm_fftMag_mfcc_de_de[3];pcm_fftMag_mfcc_de_de[4];pcm_fftMag_mfcc_de_de[5];pcm_fftMag_mfcc_de_de[6];pcm_fftMag_mfcc_de_de[7];pcm_fftMag_mfcc_de_de[8];pcm_fftMag_mfcc_de_de[9];pcm_fftMag_mfcc_de_de[10];pcm_fftMag_mfcc_de_de[11];pcm_fftMag_mfcc_de_de[12]
'unknown';0.000000;-3.918633e+00;-4.243910e+00;1.596197e+01;1.381326e+01;1.522253e+01;1.147772e+01;7.614299e+00;-6.947424e+00;-3.445605e+00;-9.499551e+00;-4.869912e+00;3.328268e+00;1.150530e+02;8.539146e-01;4.626967e-01;-8.840362e-01;1.693096e-01;1.700050e+00;2.077592e+00;-2.065539e+00;-1.181121e-01;1.530933e+00;1.341395e+00;-9.056450e-01;-1.680685e+00;1.494041e-01;-1.033904e-01;-1.405196e-01;2.959676e-01;-2.019829e-01;-5.114369e-02;-3.638393e-01;3.201528e-02;8.108267e-01;-1.447363e-01;-4.468472e-02;7.999070e-01;7.293772e-01;6.675637e-02
'unknown';0.010000;-2.128176e+00;-3.596318e+00;1.258322e+01;1.788447e+01;1.636232e+01;1.514996e+01;8.261769e+00;-6.194799e+00;4.330065e-01;-6.213854e+00;1.870717e+00;-2.127263e+00;1.143261e+02;1.073057e+00;2.829918e-01;-6.223724e-01;1.075631e-01;1.506797e+00;1.429642e+00;-2.305853e+00;2.987811e+00;3.460972e+00;2.322195e+00;5.026699e-01;-5.575514e-01;4.914841e-01;-3.292854e-01;-2.278525e-01;6.244407e-01;-3.251680e-01;-4.333268e-02;-4.824149e-01;2.489980e-01;7.536386e-01;-6.451923e-01;-6.464811e-02;1.027669e+00;1.360134e+00;6.125568e-03
'unknown';0.020000;-5.442879e-01;-2.254222e+00;1.323116e+01;1.262419e+01;2.315288e+01;2.002955e+01;-3.037133e+00;-7.914298e+00;2.269755e+00;-4.435426e+00;-1.276845e+01;-2.347390e+00;1.161634e+02;2.273915e-01;-1.500489e-01;4.649696e-01;-8.097318e-01;1.540959e+00;5.823703e-01;-1.785306e+00;2.383060e+00;-1.577678e-01;6.275711e-01;2.389733e+00;1.404635e+00;3.121460e-01;-4.580253e-01;-1.180874e-01;4.695132e-01;-1.979089e-01;-3.747452e-01;-4.407892e-01;1.188788e+00;2.795003e-01;-1.027047e+00;-1.712961e-01;9.878427e-01;1.287422e+00;-1.578480e-01
'unknown';0.030000;-2.405209e-01;-3.823795e+00;1.421551e+01;1.494560e+01;1.879133e+01;1.435001e+01;1.410752e+00;8.475064e+00;1.100158e+01;-4.206397e-01;1.592707e+00;3.378340e+00;1.169552e+02;-4.792510e-01;-3.701928e-01;1.563664e+00;-9.670099e-01;1.562933e+00;4.131282e-01;-9.606657e-01;2.399495e+00;-8.506781e-01;1.375066e+00;2.585011e+00;3.577326e+00;9.866104e-02;-5.007972e-01;1.352395e-01;2.832783e-01;2.924122e-01;-3.196012e-01;-2.132550e-01;9.718552e-01;-1.148327e+00;-1.133382e+00;-6.162717e-01;-5.983257e-01;-1.028020e-01;-2.631942e-01
'unknown';0.040000;-3.725503e+00;-4.880416e+00;1.747067e+01;1.123403e+01;2.171281e+01;1.478955e+01;2.113276e+00;-2.367056e+00;-9.518728e+00;-9.258303e+00;7.217757e+00;7.598641e+00;1.152992e+02;-6.600577e-01;1.988523e-01;3.705116e-01;-2.829484e-01;-2.017439e-01;3.819028e-01;3.205805e+00;1.573547e+00;-1.448476e+00;9.584783e-01;2.992398e+00;2.688988e+00;-4.434242e-01;-2.172983e-01;1.822085e-01;-2.216929e-01;6.895689e-01;-1.849045e-01;-2.060476e-01;1.140560e-01;-1.002713e+00;1.256262e-01;-8.159428e-01;-1.864952e+00;-1.302188e+00;-1.346811e-01
'unknown';0.050000;-2.933824e+00;-4.134185e+00;1.828178e+01;1.374450e+01;2.489701e+01;1.983561e+01;8.832369e-01;3.029053e+00;2.073858e+00;3.072914e+00;4.802670e+00;1.078635e+01;1.152516e+02;-9.872047e-01;7.847388e-01;8.412480e-01;1.306232e+00;7.801420e-01;4.636005e-01;5.786715e-02;-2.349069e+00;-1.560585e+00;-9.246179e-01;-2.790292e+00;-1.713738e+00;-4.467018e-01;2.833991e-02;-5.340164e-02;-6.145023e-01;6.602357e-01;-1.938244e-02;-4.482939e-01;-2.747546e-01;-6.045035e-01;3.254442e-02;-1.225997e+00;-1.567139e+00;-1.964906e+00;3.627884e-02
'unknown';0.060000;-2.497925e+00;-1.104765e+00;1.305059e+01;1.181000e+01;1.909132e+01;1.919627e+01;1.325565e+01;2.676444e+00;-5.087688e-01;-1.389811e+00;5.885586e-01;7.393547e+00;1.147981e+02;-6.051229e-01;1.835279e-01;-2.822868e-01;1.501491e+00;1.007831e+00;-4.731039e-01;-1.724293e+00;-2.562245e-01;8.253168e-01;-2.302301e+00;-4.247375e+00;-2.460774e+00;-8.857803e-02;-4.022713e-02;-5.902635e-01;-3.762459e-01;1.251734e-01;-1.386837e-01;-6.188060e-01;-8.867620e-01;4.595202e-01;5.012421e-01;-3.165998e-01;-3.211802e-01;-1.005233e+00;1.417385e-01
'unknown';0.070000;-5.790334e+00;-1.787926e+00;2.063179e+01;2.118878e+01;2.400279e+01;1.446465e+01;-3.871101e+00;-5.792029e+00;-1.306330e+00;-8.977975e+00;-9.044151e+00;-5.087805e+00;1.149722e+02;-3.650188e-01;-6.295388e-01;-1.182448e+00;1.441949e+00;8.612329e-01;-1.400838e+00;1.306101e-01;2.918635e-01;-1.824853e+00;-3.124530e+00;-1.630795e+00;-3.672321e+00;1.026321e-01;1.912205e-01;-6.441326e-01;-4.256588e-01;-7.895753e-01;-5.110494e-01;-3.793619e-01;1.400535e-01;1.037042e+00;7.356746e-01;1.266439e+00;1.461055e+00;6.666530e-01;1.682101e-01
'unknown';0.080000;-5.322863e+00;-5.135906e+00;1.488423e+01;1.501935e+01;2.719908e+01;1.510951e+01;-4.131019e+00;7.623628e-01;-3.702050e+00;-1.474436e+01;-7.095709e+00;3.231851e+00;1.149960e+02;-1.172286e+00;-2.045326e+00;-4.988699e-01;2.750605e-01;-9.357079e-01;-1.779908e+00;-1.264376e+00;2.550682e+00;1.189868e+00;4.754353e-01;8.067490e-01;-1.357888e+00;-9.398651e-03;2.230858e-01;1.153250e-01;1.090893e-01;-7.599386e-01;-3.828952e-01;1.039552e-01;7.051620e-01;3.116618e-01;9.816240e-01;2.361612e+00;1.730809e+00;1.312235e+00;8.898361e-02
'unknown';0.090000;-3.346449e+00;-5.266308e+00;1.145272e+01;1.934957e+01;2.514930e+01;1.487480e+01;1.022962e+01;5.445411e+00;-5.453764e+00;-5.872460e+00;4.908273e-01;-5.494402e+00;1.156658e+02;2.524794e-01;-1.321497e+00;-1.178754e+00;-2.028429e+00;-8.033352e-01;-7.798069e-01;5.281761e-01;1.432689e+00;1.935512e+00;4.018712e+00;1.987919e+00;1.068084e+00;3.547592e-01;3.147037e-01;7.225055e-01;5.237079e-01;-6.629070e-01;-1.095526e-02;7.282109e-01;5.916237e-01;-2.154180e-01;1.306497e+00;1.561132e+00;2.414410e-01;1.394488e+00;5.464470e-02
