name;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc_de[0];pcm_fftMag_mfcc_de[1];pcm_fftMag_mfcc_de[2];pcm_fftMag_mfcc_de[3];pcm_fftMag_mfcc_de[4];pcm_fftMag_mfcc_de[5];pcm_fftMag_mfcc_de[6];pcm_fftMag_mfcc_de[7];pcm_fftMag_mfcc_de[8];pcm_fftMag_mfcc_de[9];pcm_fftMag_mfcc_de[10];pcm_fftMag_mfcc_de[11];pcm_fftMag_mfcc_de[12];pcm_fftMag_mfcc_de_de[0];pcm_fftMag_mfcc_de_de[1];pcm_fftMag_mfcc_de_de[2];pcm_fftMag_mfcc_de_de[3];pcm_fftMag_mfcc_de_de[4];pcm_fftMag_mfcc_de_de[5];pcm_fftMag_mfcc_de_de[6];pcm_fftMag_mfcc_de_de[7];pcm_fftMag_mfcc_de_de[8];pcm_fftMag_mfcc_de_de[9];pcm_fftMag_mfcc_de_de[10];pcm_fftMag_mfcc_de_de[11];pcm_fftMag_mfcc_de_de[12]
'unknown';0.000000;7.539172e+00;2.674535e+01;1.770000e+01;-5.095415e+00;6.997430e+00;3.023504e+00;-4.153359e+00;-7.905535e+00;3.532171e+00;2.275578e+00;-4.029339e+00;-7.643081e+00;1.187839e+02;5.789133e-01;-1.411985e-01;1.603520e+00;3.179646e+00;5.695378e+00;5.325263e+00;2.094915e+00;9.169372e-01;-2.093518e+00;-2.942276e+00;8.442186e-01;4.049288e+00;-2.278595e-01;-2.688299e-01;-2.492961e-02;-9.422632e-02;-2.489773e-01;2.531258e-01;-2.093439e-02;5.979196e-01;7.877863e-01;3.612993e-01;6.225417e-01;3.597416e-01;-6.021184e-01;-2.294939e-01
'unknown';0.010000;1.269968e+01;2.820491e+01;2.158041e+01;2.542452e+00;1.457150e+01;9.952510e+00;-9.551929e+00;-1.176101e+01;6.306795e+00;-3.553474e+00;9.538438e-01;-1.260520e+00;1.211499e+02;4.118828e-01;7.940513e-01;2.192582e+00;3.188870e+00;6.708876e+00;5.318985e+00;3.281178e+00;1.416523e+00;-1.266141e+00;-1.438498e+00;1.581538e+00;3.461694e+00;-7.664787e-01;-4.349392e-01;-1.515108e-01;-5.137943e-01;-6.828114e-01;-4.547303e-01;-7.711523e-01;2.856839e-01;1.047383e+00;8.809388e-01;1.147254e+00;1.657787e-01;-1.618284e+00;-2.218803e-01
'unknown';0.020000;7.853484e+00;2.530957e+01;2.377740e+01;6.983881e+00;3.168728e+01;2.618532e+01;9.020500e+00;-1.393112e+00;-8.322732e+00;-9.521276e+00;-2.299838e+00;9.412080e+00;1.164616e+02;-6.817209e-01;-7.334715e-01;8.378574e-01;1.930147e+00;6.454258e+00;5.223730e+00;4.491381e+00;4.606076e+00;-7.007099e-01;-5.814562e-01;2.274267e+00;1.332494e+00;-1.106020e+00;-2.585464e-01;-2.418948e-01;-7.829075e-01;-9.271498e-01;-1.837274e+00;-1.677840e+00;-5.785497e-01;1.231048e-01;1.490434e+00;1.555189e+00;-1.749592e-01;-1.669442e+00;7.436867e-02
'unknown';0.030000;9.441430e+00;3.143349e+01;2.562421e+01;4.809286e+00;2.819689e+01;1.803752e+01;5.665602e+00;-4.079134e+00;3.128916e+00;9.815167e-01;3.013602e+00;1.137809e+00;1.161126e+02;-9.654654e-01;-6.026161e-01;-5.826203e-01;3.903385e-01;3.042286e+00;1.520268e+00;2.325101e+00;4.309284e+00;1.614772e+00;1.613586e+00;9.580881e-01;-2.683734e+00;-8.981811e-01;-1.019100e-01;-5.956606e-01;-1.040089e+00;-7.432650e-01;-2.561160e+00;-1.859738e+00;-1.111417e+00;-8.406458e-01;1.042727e+00;6.281093e-01;-8.125609e-01;-4.355389e-01;3.124584e-01
'unknown';0.040000;5.759693e+00;2.146370e+01;1.986739e+01;3.421905e+00;3.245602e+01;2.509965e+01;1.069478e+01;1.128391e+01;1.617560e+00;-2.899198e+00;6.312117e+00;-2.179777e+00;1.157724e+02;-2.514458e-02;-6.523386e-01;-9.234163e-01;-5.683684e-02;-1.657695e+00;-1.164579e+00;-3.197950e-01;8.608045e-02;3.918195e+00;3.307629e+00;2.811480e-01;-1.225210e+00;2.098351e-01;-8.646115e-02;-3.109379e-01;-6.214447e-01;-3.687765e-01;-2.422702e+00;-1.806905e+00;-1.069143e+00;-1.834616e+00;4.091528e-01;1.487175e-01;-6.927551e-01;1.093749e+00;2.911119e-01
'unknown';0.050000;8.919250e+00;2.711477e+01;2.062231e+01;6.275133e+00;2.939856e+01;1.809669e+01;1.236437e+00;3.446903e+00;9.410509e+00;1.203417e+00;1.438307e+00;-8.883260e+00;1.170036e+02;-4.259554e-01;-2.224818e+00;-2.127226e+00;4.660367e-01;-2.040949e+00;-7.855514e-01;1.296801e-01;-5.267087e-01;1.638040e+00;-2.424934e-01;-1.484706e+00;2.562851e+00;1.378860e-01;-2.985539e-01;-3.649316e-01;-2.780839e-01;-3.720821e-01;-9.515914e-01;-9.770640e-01;-2.276885e-02;-9.935199e-01;-1.010747e+00;-7.820538e-01;-1.983972e-01;1.716611e+00;8.236016e-02
'unknown';0.060000;7.988852e+00;2.420724e+01;2.166127e+01;5.966774e+00;2.279797e+01;2.033284e+01;9.636107e+00;-4.725728e+00;8.127446e+00;6.905919e+00;-1.064503e-01;8.296564e+00;1.170653e+02;-1.383782e+00;-1.477060e+00;-1.497063e+00;4.841590e-02;-3.117636e+00;-2.657888e+00;2.433759e-01;-2.149010e+00;1.333420e+00;1.090171e+00;3.188848e-02;4.177944e+00;-1.684937e-01;-4.377695e-01;-3.199530e-02;5.974262e-02;-5.711937e-01;4.280639e-01;-3.868900e-01;5.246915e-01;2.100917e-01;-1.450137e+00;-1.186330e+00;1.527575e-01;-3.489760e-01;-1.801713e-01
'unknown';0.070000;6.197074e+00;1.893763e+01;1.409114e+01;5.867035e+00;2.282117e+01;1.649317e+01;6.843339e+00;1.292141e+00;8.064172e+00;-5.133509e+00;-1.200646e+00;8.713896e+00;1.161556e+02;-1.778916e+00;-2.014914e+00;-1.686216e+00;-1.522699e+00;-9.857002e-01;-2.618397e+00;1.929672e+00;4.592301e-01;-2.146575e+00;-1.187954e+00;9.073162e-02;3.197744e+00;-2.972160e-01;-1.922074e-01;4.951256e-01;4.561467e-01;-5.959401e-01;7.440427e-01;1.563886e-01;-1.638950e-01;2.928141e-01;-9.392897e-01;-1.916448e-01;5.725497e-01;-2.070305e+00;-1.797593e-01
'unknown';0.080000;2.018730e-01;1.816697e+01;1.564765e+01;3.868033e+00;2.015654e+01;1.261197e+01;9.108211e+00;1.616239e+00;8.957830e+00;5.720120e+00;7.791036e+00;9.911366e+00;1.153539e+02;-1.537512e+00;-9.172674e-01;-8.452080e-01;-1.918438e+00;-4.499989e-02;-2.182606e+00;1.403667e+00;6.435695e-01;-1.440185e+00;-2.151290e+00;2.572166e-01;-3.287536e+00;-4.734703e-01;1.309831e-01;3.001732e-01;5.922771e-03;-8.477925e-01;5.475861e-01;7.897406e-01;-1.016097e+00;2.179130e-01;-6.424348e-01;-2.331782e-01;-1.814213e-01;-2.069693e+00;-1.063600e-01
'unknown';0.090000;3.918158e+00;2.006034e+01;1.519804e+01;-2.889901e-01;2.579078e+01;8.865137e+00;1.114874e+01;2.572070e+00;-1.737558e+00;-4.143452e+00;-2.056778e+00;6.298059e+00;1.163732e+02;-1.310127e+00;-2.908668e-02;-1.724200e-01;-1.530237e+00;1.429468e-01;-2.412490e-01;-1.269940e+00;-4.589280e-01;-1.671606e+00;4.200130e-01;1.265378e+00;-4.055935e+00;-6.084221e-01;1.298997e-01;2.675524e-02;-5.197480e-02;-4.215123e-01;-3.556386e-01;6.489240e-01;-1.510337e+00;-4.375071e-01;1.903671e-01;2.242810e-01;-5.289026e-01;-1.046730e+00;-3.587556e-02
'unknown';0.100000;1.440751e+00;1.905955e+01;1.688178e+01;-5.474023e-01;2.108817e+01;1.323382e+01;1.450174e+01;-2.147845e+00;5.827386e+00;-4.345559e+00;1.607698e+00;-6.933197e+00;1.145892e+02;-9.632603e-01;-9.691074e-01;-2.224348e+00;-4.186777e+00;-9.440292e-01;1.022411e-01;-3.237304e+00;-6.003663e-01;-2.116238e+00;-8.797033e-01;-1.462541e+00;-2.543682e+00;-5.446907e-01;3.538011e-01;-1.606813e-01;-8.990867e-02;1.451978e-01;-3.449859e-01;1.375027e-01;-1.170630e+00;3.785820e-02;5.290553e-01;4.732846e-01;-3.899070e-01;1.223686e+00;1.302790e-01
'unknown';0.110000;-9.730026e-01;1.834591e+01;1.261198e+01;4.235672e-01;2.307009e+01;1.497600e+01;-2.203126e+00;8.795430e-01;1.271361e+00;1.999395e+00;8.217913e+00;-3.143500e+00;1.134959e+02;-1.416543e+00;-1.855217e+00;-1.256521e+00;-2.496091e+00;-2.314378e+00;-5.162007e-01;-3.301530e+00;-1.106337e+00;-8.567127e-01;-7.023419e-01;-1.693903e+00;-2.407835e+00;-4.409836e-01;6.731399e-01;6.514440e-02;4.328986e-01;1.229757e+00;2.630766e-01;-2.113840e-01;4.169309e-01;6.098987e-01;1.125172e+00;7.364327e-01;-2.747395e-01;1.412023e+00;2.888869e-01
'unknown';0.120000;-2.168848e+00;1.417865e+01;5.818945e+00;-1.742213e+01;1.679674e+01;1.006774e+01;-4.023737e-01;-5.393294e-01;-3.127819e+00;-1.749821e+00;-4.659017e+00;1.913735e+00;1.140691e+02;2.847015e-01;-8.076084e-01;-7.527011e-01;-7.095221e-01;-5.412668e-01;-1.357617e+00;-3.433688e+00;1.156565e+00;7.976447e-01;7.763106e-01;-2.126779e-01;2.006844e+00;9.420548e-02;7.525385e-01;5.903467e-01;1.148261e+00;2.274305e+00;1.238545e+00;3.440968e-01;1.552234e+00;7.143825e-01;1.629222e+00;1.520508e+00;7.998379e-01;6.569616e-01;2.716464e-01
'unknown';0.130000;-1.359759e+00;1.322470e+01;1.444685e+01;-4.332078e+00;1.636460e+01;7.867174e+00;2.093152e+00;-3.763874e+00;-1.543519e+00;-8.953031e+00;-7.392934e+00;-1.016458e+01;1.144283e+02;1.431591e+00;2.158858e-01;1.256250e+00;2.879919e+00;1.256949e+00;-5.682400e-01;9.129062e-01;1.712100e+00;2.497312e+00;3.274169e+00;-7.332512e-01;7.289172e-01;5.165642e-01;4.620696e-01;6.995491e-01;5.380171e-01;1.046262e+00;1.347378e+00;9.105633e-01;1.573585e+00;1.958935e-01;1.053667e+00;1.536681e+00;1.162880e+00;4.389707e-01;1.156930e-01
'unknown';0.140000;3.057636e+00;1.758211e+01;1.220084e+01;-1.717190e+00;2.173458e+01;1.000015e+01;-4.814843e+00;5.956689e+00;1.122305e+01;5.012208e+00;8.349732e+00;6.611565e+00;1.145940e+02;1.375365e+00;9.470743e-01;2.260573e+00;4.496741e+00;3.463031e+00;1.848745e+00;2.416646e+00;1.562328e+00;4.352858e+00;4.734582e+00;2.056323e+00;-8.272498e-01;3.347672e-01;-3.408073e-01;9.948714e-02;-7.019696e-02;-3.304549e-01;1.057171e-01;7.949942e-01;1.164699e+00;-1.018921e+00;-7.124337e-01;-3.887620e-01;6.173955e-01;-1.337202e-01;-1.076335e-01
