name;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc_de[0];pcm_fftMag_mfcc_de[1];pcm_fftMag_mfcc_de[2];pcm_fftMag_mfcc_de[3];pcm_fftMag_mfcc_de[4];pcm_fftMag_mfcc_de[5];pcm_fftMag_mfcc_de[6];pcm_fftMag_mfcc_de[7];pcm_fftMag_mfcc_de[8];pcm_fftMag_mfcc_de[9];pcm_fftMag_mfcc_de[10];pcm_fftMag_mfcc_de[11];pcm_fftMag_mfcc_de[12];pcm_fftMag_mfcc_de_de[0];pcm_fftMag_mfcc_de_de[1];pcm_fftMag_mfcc_de_de[2];pcm_fftMag_mfcc_de_de[3];pcm_fftMag_mfcc_de_de[4];pcm_fftMag_mfcc_de_de[5];pcm_fftMag_mfcc_de_de[6];pcm_fftMag_mfcc_de_de[7];pcm_fftMag_mfcc_de_de[8];pcm_fftMag_mfcc_de_de[9];pcm_fftMag_mfcc_de_de[10];pcm_fftMag_mfcc_de_de[11];pcm_fftMag_mfcc_de_de[12]
'unknown';0.000000;-1.873869e+00;1.243174e+01;1.017452e+00;4.013598e+00;-1.145872e+01;3.558833e+01;-2.887698e+01;4.475770e+00;1.329000e+01;-3.097701e+01;7.333558e+00;8.984950e-01;1.161635e+02;-8.020744e-02;-1.154407e+00;2.034564e+00;-1.439843e+00;-1.103767e-01;-3.709990e+00;1.791711e+00;3.998131e+00;3.995721e-01;3.377557e+00;9.099784e-02;1.350175e+00;-3.183762e-01;2.035718e-01;1.086577e-02;-1.475145e-01;1.420073e-01;-4.698040e-01;-3.079037e-01;4.712099e-01;2.699450e-01;-6.882303e-01;-1.875056e-01;-3.392318e-01;-6.608784e-01;-7.379372e-02
'unknown';0.010000;-3.284802e+00;9.886712e+00;4.653174e+00;1.845591e-01;-1.034936e+01;2.413286e+01;-2.751669e+01;1.504159e+01;2.687118e+01;-2.097971e+01;2.496846e+00;3.030449e+00;1.151887e+02;6.306226e-01;-1.149002e+00;1.221856e+00;-1.580338e+00;-1.139713e+00;-4.429456e+00;3.075432e+00;5.840661e+00;-2.060043e+00;2.348072e+00;-1.048611e+00;1.341831e-01;-4.651375e-01;2.813921e-01;1.696001e-01;-4.824817e-01;3.599521e-01;-6.556146e-01;-4.032988e-02;2.471751e-01;-1.006558e+00;-3.319661e-01;-2.173808e-02;-2.813895e-01;-5.681784e-01;-4.169849e-03
'unknown';0.020000;-1.569440e+00;7.932218e+00;9.372410e+00;-1.271098e+00;-1.256528e+01;2.276612e+01;-2.059857e+01;1.918351e+01;8.497267e+00;-1.908787e+01;1.020690e+01;6.583391e+00;1.150591e+02;5.822362e-01;-1.102780e+00;1.703345e+00;-6.595599e-01;-1.944729e+00;-4.889775e+00;3.505900e+00;4.426590e+00;-1.811772e+00;2.954771e+00;-1.035357e+00;-1.346221e+00;-6.139641e-01;2.417905e-01;5.483825e-01;-9.155828e-01;5.363657e-01;-3.615350e-02;6.320392e-01;-3.468170e-01;-2.380359e+00;4.693609e-01;-5.118725e-01;-5.907196e-01;-6.433957e-01;1.362946e-01
'unknown';0.030000;1.127029e+00;8.936489e+00;2.949256e+00;-1.245741e+00;-1.660400e+01;1.985216e+01;-1.763902e+01;2.632520e+01;5.386147e+00;-2.518122e+01;6.538291e-01;-1.273038e+00;1.143901e+02;9.955312e-01;-3.322196e-01;-2.122354e-01;-3.022459e-02;-2.471274e+00;-3.321747e+00;2.170492e+00;-1.248889e+00;-1.545865e-01;3.480259e+00;-7.527722e-01;-1.425192e-01;-1.914314e-01;-3.292209e-03;7.075288e-01;-8.236367e-01;5.903478e-01;1.115960e+00;1.409920e+00;-7.568849e-01;-2.976846e+00;8.853264e-01;-5.728818e-01;-3.629194e-01;-2.675334e-01;3.049343e-01
'unknown';0.040000;-1.168604e+00;7.392948e+00;1.038614e+01;1.430949e+00;-1.805504e+01;1.327981e+01;-1.628632e+01;2.096692e+01;1.497366e+01;-1.410240e+01;3.078282e+00;-3.680869e+00;1.134930e+02;9.462905e-01;1.179115e+00;-1.826305e+00;4.669287e-01;3.746363e-01;-1.103649e+00;5.100958e-01;-4.358891e+00;1.793648e+00;2.521006e-01;-3.010520e+00;-1.728452e+00;2.262436e-01;-1.731301e-01;6.713575e-01;-8.313919e-01;3.255010e-01;1.498453e+00;1.595968e+00;-1.070593e+00;-1.439855e+00;7.961189e-02;-1.203163e-01;2.863714e-01;1.598949e-01;2.514556e-01
'unknown';0.050000;1.492436e+00;8.495249e+00;3.085134e+00;-1.317587e+00;-1.996085e+01;1.226728e+01;-1.882036e+01;7.905445e+00;2.286005e+01;-6.071152e+00;2.297295e+00;7.449983e+00;1.150146e+02;4.321344e-01;1.247695e+00;-1.131502e+00;8.081570e-01;3.280403e+00;7.270834e-01;7.889093e-01;-4.650831e+00;5.638785e-01;8.349980e-01;-1.875627e+00;-1.012368e+00;6.394302e-01;-3.382145e-01;2.744311e-01;-5.069777e-02;6.975906e-02;9.159625e-01;1.180420e+00;-1.311710e-01;1.106779e+00;-1.311125e+00;4.510341e-01;5.748723e-01;4.156574e-01;-2.765641e-04
'unknown';0.060000;2.979309e+00;1.404841e+01;1.729459e-01;1.099468e+00;-9.013669e+00;2.104032e+01;-1.745743e+01;6.598935e+00;8.728554e+00;-2.738240e+01;-5.667428e+00;-6.420382e+00;1.158781e+02;-1.715958e-03;1.464050e+00;-1.993982e+00;5.487543e-01;2.671698e+00;1.065651e+00;-1.156274e+00;-1.071716e+00;-1.772945e+00;3.675820e+00;9.579275e-01;-1.118226e-01;2.278831e-01;-2.046507e-01;-1.672960e-01;6.083557e-01;-1.397263e-01;-7.995543e-01;3.812887e-01;4.876210e-01;1.897648e+00;-1.129333e+00;1.387896e+00;8.403282e-01;1.218692e+00;-1.489108e-01
'unknown';0.070000;1.213745e+00;1.184723e+01;2.398342e+00;2.960784e+00;-4.722672e+00;1.960732e+01;-1.310892e+01;1.025504e+01;1.132809e+01;-1.436623e+01;-4.351451e+00;-4.965123e+00;1.163947e+02;-2.215380e-01;8.974684e-01;-3.818859e-01;2.776578e-01;9.600074e-01;1.495705e+00;2.347822e+00;2.641420e+00;-4.926913e+00;4.023570e+00;1.373659e-01;1.127453e+00;-1.936340e-01;1.644355e-03;-4.756131e-01;5.767952e-01;-2.054503e-01;-1.949157e+00;-2.399641e-01;-2.082756e-01;9.843756e-01;-9.380649e-02;3.397045e-01;4.946779e-01;1.071571e+00;-1.649878e-01
'unknown';0.080000;-1.037838e+00;1.303721e+01;7.596228e-01;2.035534e+00;-1.231564e+01;1.493804e+01;-2.492340e+01;1.443354e+01;1.187491e+01;8.424239e+00;1.119229e+01;1.967571e+00;1.139424e+02;2.498730e-01;5.177477e-01;8.406655e-01;3.354700e-02;-2.462938e+00;4.184839e-01;2.168745e+00;1.483221e+00;-1.107623e+00;5.597293e+00;1.846248e-01;3.295095e+00;-1.017784e-01;4.415780e-03;-8.576391e-01;2.681294e-01;-8.410637e-02;-1.392317e+00;-5.016080e-01;-8.023822e-01;-6.833628e-01;1.029656e+00;-1.138876e+00;-1.079916e-01;3.474784e-02;-3.783798e-03
'unknown';0.090000;2.393319e+00;1.348819e+01;8.823664e-01;-3.973313e-01;-1.350983e+01;2.279695e+01;-3.348262e+00;1.719524e+01;-3.347694e+00;-3.856623e+00;-5.445736e+00;8.893271e+00;1.150142e+02;3.145617e-01;-6.572195e-01;3.351505e-01;3.850901e-02;-3.898064e+00;-1.491539e-01;-1.914978e+00;-1.006422e+00;-2.378149e-01;1.572784e+00;9.844137e-01;2.642026e+00;-2.067795e-02;-6.520551e-02;-8.551592e-01;-1.918034e-01;3.770373e-01;-1.256435e-01;-1.019694e+00;-2.382516e+00;-1.318020e+00;1.432525e+00;-1.468347e+00;1.128785e-01;-1.258717e+00;-3.411560e-02
'unknown';0.100000;3.638886e+00;1.581667e+01;5.134261e+00;2.946261e+00;-1.693478e+01;2.153792e+01;-1.149403e+01;1.054494e+01;1.052833e+01;-4.650733e+00;-4.197162e+00;3.125894e+00;1.160594e+02;-2.476869e-01;-2.046802e+00;-1.011853e+00;2.477969e-01;-1.860849e+00;-6.199595e-01;-3.036785e+00;-2.664609e+00;1.030785e+00;-7.931671e-01;-5.554485e-03;-6.953701e-01;1.224861e-01;-6.486684e-02;-3.358067e-01;-1.698254e-01;4.171767e-01;1.148203e+00;-1.122048e+00;-1.390651e+00;-4.238617e-01;8.768713e-03;-1.968857e+00;-5.931578e-01;-1.749516e+00;-2.408146e-01
'unknown';0.110000;4.481910e-01;7.171402e+00;1.886775e+00;2.697966e+00;-2.190342e+01;1.556161e+01;-2.939849e+01;7.167233e+00;1.081231e+01;3.517961e-02;8.265346e+00;7.665846e+00;1.152328e+02;-2.987856e-01;-2.096053e+00;-4.146437e-01;2.055719e+00;3.074570e-02;-3.083541e+00;-6.961996e+00;-1.874763e+00;1.166508e+00;-1.229340e-01;7.968481e-01;-3.170900e+00;-4.763443e-01;2.033072e-01;6.594812e-01;5.294071e-01;2.250908e-01;1.484442e+00;-1.074156e+00;1.148098e+00;7.789658e-01;-4.812124e-01;-8.565575e-01;-1.508945e+00;-1.088424e+00;-2.355615e-01
'unknown';0.120000;-1.303708e+00;5.961592e+00;-4.801845e+00;1.726870e+00;-1.742309e+01;1.545591e+01;-2.708221e+01;6.124496e+00;9.948840e+00;2.512502e+00;4.308980e+00;-8.955675e-01;1.144455e+02;2.322124e-01;-4.418691e-01;3.664357e-01;1.110825e+00;1.313671e+00;-3.724562e+00;-2.261004e+00;-2.019166e-01;-1.765941e+00;-3.399135e+00;-2.687381e+00;-2.546024e+00;-1.078018e+00;3.006173e-01;9.919237e-01;9.822627e-01;-4.401051e-01;9.935614e-01;-2.610533e-01;2.557931e+00;9.552099e-01;-1.115374e+00;1.411414e-01;-7.474486e-01;1.723851e-02;-5.796463e-02
'unknown';0.130000;3.370689e+00;7.935466e+00;3.777201e+00;1.049096e+01;-1.311195e+01;1.042025e+01;-3.036415e+01;1.003165e+01;2.774590e+00;-8.052910e+00;-5.714566e+00;-4.950495e+00;1.134395e+02;1.091148e+00;1.837720e+00;2.293042e+00;7.324489e-01;1.936883e+00;-3.967634e+00;3.437621e+00;1.657061e+00;-1.245514e+00;-1.407020e+00;-5.219399e+00;-1.874765e+00;-5.982330e-01;1.020341e-01;6.464322e-01;5.285298e-01;-1.096413e+00;5.358058e-01;8.378844e-01;3.024310e+00;2.785307e-01;-1.090272e+00;1.090466e+00;2.655684e-01;4.772728e-01;3.045785e-01
'unknown';0.140000;3.338700e+00;1.322529e+01;6.021226e+00;4.603890e+00;-1.476216e+01;5.485796e+00;-2.231623e+01;8.103148e+00;5.717487e+00;-1.760236e+01;-1.064411e+01;-3.296054e+00;1.115660e+02;5.604327e-01;9.459301e-01;2.545618e+00;-1.291093e+00;2.153889e+00;-1.483179e+00;4.553063e+00;3.455278e-01;-3.340075e+00;5.545831e-01;-7.346736e-01;-1.257245e+00;-1.063927e-01;-2.565323e-01;-4.803484e-02;-9.991708e-02;-6.784223e-01;5.671557e-01;9.899471e-01;1.461341e+00;-7.667823e-01;-5.734267e-01;2.122765e+00;1.182324e+00;-1.950705e-01;4.925167e-01
