name;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc_de[0];pcm_fftMag_mfcc_de[1];pcm_fftMag_mfcc_de[2];pcm_fftMag_mfcc_de[3];pcm_fftMag_mfcc_de[4];pcm_fftMag_mfcc_de[5];pcm_fftMag_mfcc_de[6];pcm_fftMag_mfcc_de[7];pcm_fftMag_mfcc_de[8];pcm_fftMag_mfcc_de[9];pcm_fftMag_mfcc_de[10];pcm_fftMag_mfcc_de[11];pcm_fftMag_mfcc_de[12];pcm_fftMag_mfcc_de_de[0];pcm_fftMag_mfcc_de_de[1];pcm_fftMag_mfcc_de_de[2];pcm_fftMag_mfcc_de_de[3];pcm_fftMag_mfcc_de_de[4];pcm_fftMag_mfcc_de_de[5];pcm_fftMag_mfcc_de_de[6];pcm_fftMag_mfcc_de_de[7];pcm_fftMag_mfcc_de_de[8];pcm_fftMag_mfcc_de_de[9];pcm_fftMag_mfcc_de_de[10];pcm_fftMag_mfcc_de_de[11];pcm_fftMag_mfcc_de_de[12]
'unknown';0.000000;-1.716315e+01;2.007785e+01;-2.003094e+01;2.079798e+01;-1.840791e+01;9.159300e+00;1.547860e+00;-6.197176e+00;5.291217e+00;-3.386726e+00;5.964110e-01;4.475233e+00;7.570948e+00;-6.316206e-01;3.076725e-02;4.495733e-01;-5.334259e-01;4.495346e-01;4.509753e-01;-1.524122e+00;8.673996e-01;5.045744e-01;-6.726966e-02;-8.878632e-01;-1.902204e-01;3.928754e-01;1.109254e-01;-9.183697e-02;-1.305041e-01;2.959027e-01;2.711730e-02;-5.634795e-01;5.381414e-01;1.040634e-02;-2.464157e-01;-1.125065e-02;1.437881e-01;1.312181e-02;-4.429635e-02
'unknown';0.010000;-1.982769e+01;1.930282e+01;-1.592014e+01;1.702087e+01;-1.733339e+01;1.153152e+01;-2.709595e+00;-3.725925e+00;4.908321e+00;-1.809000e+00;-1.238271e+00;2.074944e+00;9.298207e+00;-6.197578e-01;-6.007376e-01;7.214779e-01;1.191776e-01;3.772883e-01;-7.428623e-01;-7.453455e-01;1.263057e+00;2.843657e-01;-3.819715e-01;-1.173875e+00;6.411661e-01;5.221034e-01;2.810870e-01;2.789694e-02;-3.661383e-01;4.351514e-01;-1.591803e-01;-5.019581e-01;9.055561e-01;-3.257868e-01;-4.511595e-01;2.448993e-01;3.333093e-01;-1.374221e-01;-1.749642e-01
'unknown';0.020000;-1.898897e+01;2.061920e+01;-1.983847e+01;2.001941e+01;-1.669750e+01;1.022806e+01;-3.944022e+00;-3.095804e+00;8.005537e+00;-4.511937e+00;-2.925564e+00;4.724276e+00;8.671695e+00;-8.292484e-02;-1.126652e-01;-3.388992e-01;6.197859e-01;6.212443e-01;-1.769503e+00;7.771967e-01;7.216023e-01;-6.173999e-01;3.382800e-02;-2.591681e-02;-5.403045e-01;1.067796e-01;2.397797e-01;1.730149e-01;-2.677435e-01;1.404437e-01;-3.438732e-01;9.758215e-02;8.012759e-01;-7.645853e-01;-3.073238e-01;4.628461e-01;3.425889e-01;-3.012050e-01;-1.907512e-01
'unknown';0.030000;-1.934902e+01;1.680349e+01;-1.651978e+01;2.178316e+01;-1.737668e+01;4.910606e+00;5.670741e-01;-1.432575e+00;5.355886e+00;-4.733978e+00;-3.511977e+00;7.556542e+00;9.631091e+00;4.994667e-01;2.419682e-01;-9.868819e-01;1.065725e+00;-4.322219e-01;-9.485757e-01;1.852999e+00;-6.886358e-01;-1.190236e+00;1.106678e+00;3.477101e-01;-7.022887e-01;-3.388979e-01;8.350979e-02;2.983260e-01;-5.679001e-02;-3.282537e-01;-3.327777e-01;8.862035e-01;-3.509177e-02;-6.670658e-01;6.216734e-02;2.652085e-01;3.233384e-01;-2.689771e-01;-1.288950e-01
'unknown';0.040000;-1.781711e+01;2.076419e+01;-2.142561e+01;2.151577e+01;-1.528005e+01;3.622242e+00;3.795509e+00;-3.735840e+00;1.980435e+00;-1.755097e+00;1.603680e+00;-9.670886e-01;7.938404e+00;7.665825e-03;4.744888e-01;-3.496437e-02;-3.044813e-01;-8.650761e-01;1.041743e+00;1.183085e+00;-1.979680e+00;-2.947440e-01;1.502636e+00;6.428881e-02;-1.024518e+00;-1.303798e-01;-1.346642e-01;6.389576e-02;3.469167e-01;-5.443442e-01;-1.369596e-01;9.826118e-01;-7.768590e-01;-1.547305e-01;5.800126e-01;-3.042082e-01;-9.037495e-02;3.759069e-01;5.282592e-02
'unknown';0.050000;-1.791629e+01;2.044017e+01;-2.006098e+01;2.160131e+01;-2.020323e+01;1.009156e+01;2.685637e+00;-6.849086e+00;1.969692e+00;2.345970e+00;-1.764343e+00;1.409183e+00;7.970363e+00;-2.475042e-01;5.973156e-01;2.855604e-01;-1.059957e+00;-5.434403e-01;2.282532e+00;-1.123749e+00;-7.216302e-01;4.338744e-01;2.096670e-01;3.977140e-01;-4.616125e-01;-3.791666e-03;-1.737060e-01;-4.635267e-02;2.481785e-01;-3.340465e-01;3.180427e-01;8.208112e-02;-5.998444e-01;3.701826e-01;3.952006e-01;-4.844148e-01;-1.719860e-01;4.434342e-01;1.153210e-01
'unknown';0.060000;-1.966701e+01;2.117330e+01;-1.824269e+01;1.858792e+01;-1.960961e+01;1.284630e+01;9.121226e-01;-1.028595e+01;8.224915e+00;-5.387310e-01;-3.477937e+00;2.675365e+00;8.850160e+00;-3.827602e-01;2.913990e-02;7.594630e-01;-1.039094e+00;-7.944489e-03;1.528002e+00;-1.618724e+00;-3.555279e-02;1.470608e+00;-1.038707e+00;-5.027936e-01;1.218892e+00;2.033560e-01;6.028134e-02;-1.757900e-01;-8.689234e-02;2.254166e-01;3.869132e-01;-7.475783e-01;2.406777e-02;5.368158e-01;-7.379262e-02;-1.815343e-01;-3.961212e-01;6.203833e-01;1.190382e-02
'unknown';0.070000;-1.966159e+01;1.958551e+01;-1.668344e+01;1.794729e+01;-1.792910e+01;1.171124e+01;-3.609975e+00;-1.765671e+00;4.403018e+00;-4.293826e+00;1.017402e+00;3.427253e+00;9.156255e+00;-1.738501e-01;2.328793e-01;-1.432030e-01;-2.372011e-01;7.294258e-01;-7.812998e-01;2.546820e-01;1.902132e-01;-9.690924e-02;-4.472427e-02;-2.286789e-01;3.931771e-01;7.083893e-02;1.065580e-01;-3.379438e-01;-5.272526e-02;4.280506e-01;2.817478e-01;-1.058874e+00;6.363481e-01;1.423013e-01;-2.480530e-01;1.702805e-01;-3.402472e-01;2.555330e-01;1.951140e-02
'unknown';0.080000;-1.885826e+01;2.133722e+01;-1.931707e+01;1.814731e+01;-1.645683e+01;1.045241e+01;-1.150306e+00;-6.455312e+00;8.116811e+00;-3.628736e+00;-2.301160e+00;4.118336e+00;8.362238e+00;2.722454e-01;-2.222427e-01;-2.550444e-01;4.112234e-01;4.330568e-01;-1.164233e+00;6.142088e-01;2.484773e-01;-3.983153e-01;7.221600e-01;-1.603121e+00;1.650003e+00;-1.081760e-01;8.956648e-02;-2.347315e-01;2.652692e-02;2.077109e-01;8.284108e-02;-4.525798e-01;3.522770e-01;-3.354817e-02;-1.335630e-01;9.371325e-02;7.753593e-02;-2.082696e-01;-6.766990e-04
'unknown';0.090000;-1.918992e+01;2.152260e+01;-2.023981e+01;2.063562e+01;-1.813248e+01;7.382002e+00;4.990262e+00;-7.813339e+00;1.539197e+00;3.667351e+00;-3.496126e+00;2.653583e+00;8.568519e+00;-4.221725e-02;-9.667120e-01;5.291878e-01;3.551373e-01;6.447979e-01;-1.665721e+00;9.415252e-01;-1.521388e-01;1.280708e-01;1.806359e-01;-7.533584e-01;6.004969e-01;2.495314e-01;2.895081e-02;-7.949284e-02;1.668660e-01;-1.889277e-01;-4.512643e-02;3.935495e-01;-3.554826e-01;-8.389232e-02;3.418463e-01;-2.744700e-01;2.718413e-01;-3.525493e-01;-8.476878e-03
