name;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc_de[0];pcm_fftMag_mfcc_de[1];pcm_fftMag_mfcc_de[2];pcm_fftMag_mfcc_de[3];pcm_fftMag_mfcc_de[4];pcm_fftMag_mfcc_de[5];pcm_fftMag_mfcc_de[6];pcm_fftMag_mfcc_de[7];pcm_fftMag_mfcc_de[8];pcm_fftMag_mfcc_de[9];pcm_fftMag_mfcc_de[10];pcm_fftMag_mfcc_de[11];pcm_fftMag_mfcc_de[12];pcm_fftMag_mfcc_de_de[0];pcm_fftMag_mfcc_de_de[1];pcm_fftMag_mfcc_de_de[2];pcm_fftMag_mfcc_de_de[3];pcm_fftMag_mfcc_de_de[4];pcm_fftMag_mfcc_de_de[5];pcm_fftMag_mfcc_de_de[6];pcm_fftMag_mfcc_de_de[7];pcm_fftMag_mfcc_de_de[8];pcm_fftMag_mfcc_de_de[9];pcm_fftMag_mfcc_de_de[10];pcm_fftMag_mfcc_de_de[11];pcm_fftMag_mfcc_de_de[12]
'unknown';0.000000;-1.391470e+01;-7.104108e+00;8.798182e+00;1.427481e+01;7.235436e+00;1.619467e+01;1.031933e+01;-4.760254e+00;6.619028e+00;6.113120e+00;1.490120e+00;-3.257088e+00;1.331678e+02;1.658421e-01;-4.660428e-01;1.524048e+00;-7.068822e-01;1.060012e+00;-1.146870e+00;1.064240e-01;3.704742e+00;-4.173738e+00;-4.270362e+00;-2.533506e+00;-2.324333e+00;2.898514e-01;-2.157871e-02;3.560308e-01;-2.099454e-01;2.842235e-01;3.712387e-01;5.654526e-01;5.006637e-01;3.351823e-01;3.349381e-01;-1.360602e-02;9.445667e-04;1.044737e-01;1.195564e-01
'unknown';0.010000;-1.474371e+01;-1.012955e+01;1.174538e+01;1.175711e+01;5.515094e+00;6.532644e+00;9.743368e+00;1.308717e+01;-1.120976e+00;-3.680737e+00;-8.381727e+00;-1.731129e+01;1.336053e+02;1.108994e-01;8.383909e-01;1.268065e+00;-3.952895e-01;2.195707e+00;-5.101490e-01;1.471668e+00;5.844699e+00;-4.153766e+00;-5.705897e+00;-3.734251e+00;-2.247457e+00;7.593353e-01;-7.382887e-02;3.916774e-01;-6.442732e-01;4.035149e-01;3.207492e-01;5.834624e-01;-2.806986e-01;-1.119277e+00;1.238223e+00;1.200416e+00;5.020479e-01;3.908322e-01;3.836978e-03
'unknown';0.020000;-1.267098e+01;-7.921601e+00;1.494482e+01;1.199924e+01;1.339567e+01;1.529134e+01;1.113944e+01;4.839744e+00;-1.037966e+01;-1.034176e+01;-6.241488e+00;-7.851653e+00;1.343983e+02;8.541985e-02;6.618940e-01;6.023127e-01;5.584391e-01;2.348357e+00;1.362032e+00;1.927120e+00;4.310675e+00;-2.509034e+00;-3.620625e+00;-1.928411e+00;-1.840402e+00;6.528915e-01;-9.945060e-02;1.497739e-01;-9.656960e-01;1.272504e-01;-6.232135e-02;6.720020e-01;-5.124987e-01;-1.859098e+00;1.888202e+00;1.918808e+00;7.303640e-01;6.421917e-01;-1.813875e-01
'unknown';0.030000;-1.398206e+01;-2.503407e+00;1.206519e+01;1.343614e+01;1.513386e+01;1.409560e+01;1.726763e+01;1.966324e+01;-5.650456e+00;-1.418892e+01;-1.331533e+01;-1.219709e+01;1.363493e+02;-1.630912e-01;9.283758e-01;-1.236450e+00;6.780314e-01;2.019585e+00;5.159906e-01;-2.207417e+00;-2.194608e+00;1.185023e+00;1.406851e+00;-3.258142e-01;-6.121368e-01;1.275162e-01;-1.071802e-02;-1.744360e-01;-5.904598e-01;-2.565852e-01;-5.469452e-01;-3.321268e-02;-1.280115e+00;-2.061400e+00;1.618060e+00;1.774199e+00;8.758107e-01;1.100259e+00;-4.034134e-01
'unknown';0.040000;-1.386843e+01;-7.607710e+00;1.164984e+01;1.622749e+01;1.416784e+01;1.922336e+01;1.619281e+01;1.350509e+01;-3.661404e+00;-6.735914e+00;-5.685137e+00;-1.501620e+01;1.350603e+02;-1.944157e-01;2.378340e-01;-2.052175e+00;-6.072906e-01;8.364658e-01;1.700069e+00;-6.165268e-01;-1.571097e+00;2.597876e+00;1.767303e+00;-5.859042e-01;6.896582e-02;-3.011765e-01;9.136722e-02;1.060406e-02;1.568756e-01;-2.638146e-01;-5.959257e-01;-4.361126e-01;-5.212304e-01;-2.455255e-01;6.177273e-01;4.445823e-01;6.820654e-01;1.402734e+00;-3.132381e-01
'unknown';0.050000;-1.496045e+01;-5.644618e+00;7.210623e+00;1.303315e+01;1.522693e+01;7.146587e+00;-3.820402e+00;-2.218544e+00;1.445009e+00;1.550594e+00;-1.028897e+01;-1.678970e+01;1.339119e+02;1.972270e-01;1.782409e-01;-3.569902e-01;-1.095351e+00;2.169270e-01;-8.452312e-01;-3.657082e+00;-1.521414e+00;1.383078e+00;4.711358e-01;-2.645035e-02;2.299152e+00;-7.806976e-01;9.648303e-02;-1.399831e-01;7.954806e-01;2.407124e-01;-5.655731e-01;1.088887e-01;1.113852e+00;1.616631e+00;-6.562308e-01;-9.120095e-01;8.165790e-01;1.003136e+00;-5.836990e-02
'unknown';0.060000;-1.315387e+01;-5.161826e+00;7.111228e+00;9.164284e+00;1.753146e+01;2.726619e+01;1.860082e+01;7.925153e+00;-9.380162e-01;-9.375007e+00;-1.068419e+01;-5.210519e+00;1.341111e+02;3.620969e-01;1.089982e+00;9.469610e-01;1.260572e-01;2.700576e-01;-1.379205e-01;4.580078e-02;2.746450e+00;4.805745e-01;-9.298560e-01;1.332234e+00;3.717621e+00;-4.591919e-01;-8.976629e-02;-3.165125e-01;6.980988e-01;6.774688e-01;-6.985392e-01;-4.121265e-01;3.981376e-01;9.089969e-01;-8.937963e-01;-2.416038e-01;5.424941e-01;9.138612e-02;1.578288e-01
'unknown';0.070000;-1.335321e+01;-2.835145e+00;1.254954e+01;1.149099e+01;1.453668e+01;5.848025e+00;-2.221789e+00;1.484614e+01;-9.675815e-02;-1.051370e+01;-1.094806e+01;-5.604167e+00;1.329204e+02;4.106770e-02;-1.976137e-01;1.241385e+00;1.514920e+00;-5.250770e-01;1.979429e+00;3.030680e+00;3.729774e+00;-1.037481e+00;-1.804617e+00;2.798012e+00;2.579214e+00;-8.532562e-02;-2.432931e-01;-4.848743e-01;-7.813444e-02;3.082259e-01;-6.802236e-01;1.637496e-01;7.708811e-01;-3.141719e-01;-2.468368e-01;2.876362e-01;-1.984201e-01;-7.163016e-01;2.948366e-01
'unknown';0.080000;-1.286156e+01;-3.562537e+00;1.371519e+01;1.762885e+01;1.586325e+01;1.918303e+01;1.562251e+01;1.870500e+01;-4.876476e-01;-5.353048e+00;1.305573e+00;-2.020859e+00;1.332601e+02;-5.651674e-01;-1.156801e+00;6.391317e-01;1.474918e+00;-2.285228e+00;-1.772893e+00;-1.969720e+00;3.482939e-01;-6.608263e-01;1.697161e+00;7.143353e-01;3.858654e-01;1.402817e-01;-1.984600e-01;-2.807707e-01;-5.371240e-01;-3.526580e-01;-1.562511e-01;-5.976297e-01;-5.887362e-01;-1.821748e+00;3.883293e-01;4.296525e-01;-1.168562e+00;-1.172731e+00;2.072754e-01
'unknown';0.090000;-1.490126e+01;-7.432331e+00;1.011557e+01;1.637546e+01;1.343565e+01;2.108531e+01;1.282216e+01;1.104040e+01;-3.967579e+00;-9.483470e+00;-2.293794e+00;-5.488456e+00;1.339108e+02;-5.556062e-01;-1.122739e+00;-5.937477e-01;-2.286517e-01;-1.906548e+00;7.910033e-01;1.205084e+00;-1.893196e+00;7.195946e-01;5.958081e-01;-7.096017e-01;3.835222e-01;3.937485e-01;6.035845e-02;2.338184e-01;-6.922457e-01;-9.777446e-01;5.844678e-01;-8.899477e-01;-5.924124e-01;-1.485348e+00;1.219574e+00;5.700427e-01;-9.708598e-01;-8.699791e-01;4.562866e-02
