name;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc_de[0];pcm_fftMag_mfcc_de[1];pcm_fftMag_mfcc_de[2];pcm_fftMag_mfcc_de[3];pcm_fftMag_mfcc_de[4];pcm_fftMag_mfcc_de[5];pcm_fftMag_mfcc_de[6];pcm_fftMag_mfcc_de[7];pcm_fftMag_mfcc_de[8];pcm_fftMag_mfcc_de[9];pcm_fftMag_mfcc_de[10];pcm_fftMag_mfcc_de[11];pcm_fftMag_mfcc_de[12];pcm_fftMag_mfcc_de_de[0];pcm_fftMag_mfcc_de_de[1];pcm_fftMag_mfcc_de_de[2];pcm_fftMag_mfcc_de_de[3];pcm_fftMag_mfcc_de_de[4];pcm_fftMag_mfcc_de_de[5];pcm_fftMag_mfcc_de_de[6];pcm_fftMag_mfcc_de_de[7];pcm_fftMag_mfcc_de_de[8];pcm_fftMag_mfcc_de_de[9];pcm_fftMag_mfcc_de_de[10];pcm_fftMag_mfcc_de_de[11];pcm_fftMag_mfcc_de_de[12]
'unknown';0.000000;1.175334e+01;-2.687980e+00;4.507978e+00;1.694497e+01;4.134120e+00;1.557391e+01;4.587416e+00;-1.592542e-01;3.082248e+00;-1.623824e+00;-7.064731e+00;1.408860e+00;1.081185e+02;3.761852e-01;1.013791e+00;2.704290e-01;2.656708e-01;8.803658e-02;-1.945602e+00;-3.124219e-01;-4.974185e-01;-2.299088e+00;-2.388713e+00;2.278412e+00;-1.278901e+00;5.033264e-02;-1.027665e-01;-2.071684e-01;-3.866522e-01;-4.821984e-01;-1.107801e-01;3.862299e-01;-6.378465e-01;-1.047196e+00;2.483255e-01;7.441007e-01;3.906913e-01;6.915045e-01;1.907593e-02
'unknown';0.010000;1.210603e+01;-1.296305e+00;2.369092e+00;1.628966e+01;9.195052e+00;5.493558e+00;6.599396e+00;3.719410e+00;-1.459181e+00;-6.330682e+00;-1.447347e+00;-6.227297e+00;1.077266e+02;3.334231e-01;4.222943e-01;-5.507689e-01;-5.616776e-01;-1.027876e+00;-2.188596e+00;-2.123182e+00;-2.337885e+00;-1.558754e+00;-7.650596e-01;3.352969e+00;5.565157e-02;2.235535e-01;-1.998892e-01;-4.267734e-01;-6.060586e-01;-5.516189e-01;2.977547e-01;1.276709e+00;-3.640731e-01;-8.426934e-01;2.726859e-01;1.048351e+00;-4.789672e-01;1.020210e+00;-3.760895e-02
'unknown';0.020000;1.345793e+01;1.685140e+00;6.929566e+00;1.860098e+01;2.043838e+00;1.088608e+01;2.019316e+00;-4.585679e+00;-6.142480e+00;-1.121396e+01;1.518635e+00;-1.167565e+00;1.085661e+02;-1.162661e-01;2.736977e-01;-1.252233e+00;-1.731647e+00;9.209280e-02;1.070446e-01;-2.596274e+00;-4.813165e+00;-1.427628e+00;5.199646e-01;3.694590e+00;1.511346e+00;5.910187e-02;-1.887078e-01;-5.258193e-01;-6.104445e-01;-2.898297e-01;1.191356e+00;1.017165e+00;-1.875423e-02;2.095213e-01;-1.811668e-02;7.105430e-01;-1.357871e+00;5.731711e-01;-9.768517e-02
'unknown';0.030000;1.256817e+01;-2.763068e+00;5.433394e-01;1.330858e+01;3.987933e-02;6.974849e+00;-4.744446e+00;-9.635467e+00;-9.916029e-02;-6.540552e-01;5.408429e+00;2.975331e+00;1.090125e+02;-3.770352e-01;-7.500290e-01;-1.998533e+00;-1.493765e+00;1.574782e+00;3.411619e+00;-9.908613e-01;-2.553012e+00;-1.371389e+00;1.398701e+00;-8.245133e-01;2.427024e+00;-1.420967e-01;9.378298e-02;-7.318328e-02;2.432902e-01;3.976332e-01;1.141591e+00;5.908693e-01;7.124857e-01;1.792844e+00;3.788079e-01;-1.338286e-01;-1.635182e+00;-2.876577e-01;-9.975273e-02
'unknown';0.040000;1.094094e+01;-5.861097e-01;-8.403107e-01;9.777280e+00;9.172171e+00;1.536849e+01;-2.722033e+00;-1.754764e+01;-4.735902e+00;-1.862315e+00;7.980331e+00;4.364275e+00;1.077711e+02;-2.121247e-01;-1.029143e+00;-2.057912e+00;-7.174341e-01;4.743489e+00;3.401173e-01;-9.723536e-01;6.577516e-01;-2.483355e+00;8.212242e-02;-2.422202e+00;4.012689e-01;-2.552681e-01;3.034511e-01;1.148222e-01;4.994648e-01;6.750026e-01;-2.723187e-01;-7.417685e-01;9.658787e-01;2.882452e+00;1.514229e+00;-4.392228e-01;-7.130270e-01;-9.507043e-01;-2.786171e-02
'unknown';0.050000;1.147934e+01;-3.910825e+00;-3.738635e+00;1.323269e+01;1.350480e+01;2.031045e+01;4.015764e+00;-2.564673e+00;-9.019415e+00;-4.012997e+00;-8.800761e+00;3.141902e+00;1.074136e+02;8.502674e-01;7.077985e-01;1.068521e+00;9.193818e-01;2.354381e+00;6.492140e-01;6.272861e-01;3.890878e+00;8.631481e-01;-1.215281e+00;-1.764547e+00;-8.275984e-01;-1.180252e-01;2.028443e-01;3.055428e-01;4.094284e-01;2.178752e-01;-1.917400e+00;-1.077377e+00;7.310053e-01;1.394344e+00;2.120273e+00;4.197757e-01;6.513568e-01;-1.241272e+00;-2.628312e-04
'unknown';0.060000;1.294172e+01;-2.886699e+00;-1.219005e+00;1.505176e+01;1.902882e+01;5.918864e+00;-7.222557e+00;-4.832318e+00;-1.409913e+01;-9.123876e+00;-3.487782e+00;7.554937e-01;1.080892e+02;7.873381e-01;1.188951e-01;-2.884363e-01;4.367926e-01;-1.659300e+00;-2.220596e+00;1.424045e+00;6.377149e+00;5.026250e+00;-3.691579e-01;5.994714e-01;-1.614865e+00;-9.224243e-02;-5.310398e-02;5.302691e-03;-2.085322e-01;2.305562e-02;-2.361152e+00;-1.255946e-01;7.651173e-01;-3.517555e-01;1.177822e+00;1.313621e+00;7.628782e-01;-4.063203e-01;2.548783e-02
'unknown';0.070000;1.581912e+01;1.926220e+00;6.075294e+00;1.526825e+01;6.883457e+00;1.494573e+01;6.422466e-01;3.461263e+00;8.898192e+00;-3.099683e+00;2.319748e+00;6.417291e-01;1.082633e+02;1.374550e-01;2.036656e-01;-8.361288e-01;-9.815024e-01;-4.810824e+00;-6.949081e-01;1.465966e+00;1.559010e+00;5.475175e+00;3.723220e+00;9.214338e-01;-2.771269e+00;-2.249237e-01;-3.740533e-01;-3.309256e-01;-4.793994e-01;9.678493e-02;-7.867039e-01;-1.610135e-01;1.640611e-01;-1.446904e+00;-1.057357e+00;1.202241e+00;1.417052e-01;1.370160e-01;7.566734e-02
'unknown';0.080000;1.270775e+01;-2.910157e+00;-7.189456e+00;1.094346e+01;4.186340e+00;6.947867e+00;6.084953e+00;1.132514e+01;1.143655e+01;-4.164762e+00;5.417433e+00;-2.459963e+00;1.068850e+02;-1.212384e-01;-7.505635e-01;-2.148247e+00;3.482861e-01;-3.479670e+00;3.842053e-01;2.433893e+00;6.490831e-02;1.099741e+00;4.180977e+00;4.919786e-02;-6.584976e-01;-7.437973e-02;-2.037312e-01;-6.444509e-02;4.585771e-01;4.703644e-01;9.295179e-01;3.210764e-01;-6.876557e-01;-2.015033e+00;-2.303426e+00;-2.152726e-01;-4.258253e-01;6.816079e-01;1.787354e-01
'unknown';0.090000;1.228360e+01;-2.880768e+00;-4.934054e+00;1.037933e+01;-3.128083e+00;1.632141e+01;4.691839e+00;-2.848353e+00;5.588624e+00;1.212355e+01;-8.646199e+00;-9.106713e+00;1.068911e+02;-5.657107e-01;-5.121005e-01;-3.985700e-01;1.447560e+00;-6.689537e-01;-1.458254e+00;9.426678e-01;-1.875226e-01;-2.460382e+00;2.520854e+00;-7.808848e-01;-6.207021e-01;2.513801e-01;4.093268e-02;-6.079647e-02;7.533464e-01;4.510111e-01;1.779290e+00;-7.405339e-02;-1.112165e+00;-8.391930e-01;-2.069428e+00;-2.005900e+00;3.780902e-01;1.057083e+00;2.091924e-01
