name;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc_de[0];pcm_fftMag_mfcc_de[1];pcm_fftMag_mfcc_de[2];pcm_fftMag_mfcc_de[3];pcm_fftMag_mfcc_de[4];pcm_fftMag_mfcc_de[5];pcm_fftMag_mfcc_de[6];pcm_fftMag_mfcc_de[7];pcm_fftMag_mfcc_de[8];pcm_fftMag_mfcc_de[9];pcm_fftMag_mfcc_de[10];pcm_fftMag_mfcc_de[11];pcm_fftMag_mfcc_de[12];pcm_fftMag_mfcc_de_de[0];pcm_fftMag_mfcc_de_de[1];pcm_fftMag_mfcc_de_de[2];pcm_fftMag_mfcc_de_de[3];pcm_fftMag_mfcc_de_de[4];pcm_fftMag_mfcc_de_de[5];pcm_fftMag_mfcc_de_de[6];pcm_fftMag_mfcc_de_de[7];pcm_fftMag_mfcc_de_de[8];pcm_fftMag_mfcc_de_de[9];pcm_fftMag_mfcc_de_de[10];pcm_fftMag_mfcc_de_de[11];pcm_fftMag_mfcc_de_de[12]
'unknown';0.000000;-8.050479e+00;-4.343358e+00;1.507429e+01;2.404113e+01;3.077591e+01;1.827063e+01;8.116159e+00;1.107397e+00;4.163064e+00;-6.618357e+00;-5.057865e-01;-2.224865e+00;1.209234e+02;-7.963122e-01;-5.931032e-01;6.349586e-01;-1.937177e+00;-2.323976e+00;-4.085854e+00;-5.726798e+00;-3.978762e+00;-4.581823e+00;-3.206481e+00;4.770317e-01;1.229928e+00;-2.152420e-01;-3.603577e-02;2.716728e-01;5.451261e-01;4.676279e-01;-6.986132e-02;-1.323377e-01;2.253484e-01;9.802446e-01;1.172672e+00;1.097253e+00;-5.985085e-02;1.878930e-01;-7.590195e-02
'unknown';0.010000;-1.168583e+01;-1.136454e+01;1.332184e+01;1.998092e+01;3.005042e+01;1.610207e+01;1.020444e-01;-4.841948e+00;7.409700e-01;-4.714630e+00;-2.654719e+00;-5.643223e+00;1.204335e+02;-8.226956e-01;6.011987e-01;2.370577e+00;-7.845400e-01;-2.615160e+00;-6.025701e+00;-7.509384e+00;-3.566536e+00;-2.833964e+00;-3.418220e-01;1.659188e+00;2.769256e+00;-3.299942e-01;9.923904e-02;3.976030e-01;6.240691e-01;6.873580e-01;2.283699e-02;6.490641e-01;1.314371e+00;2.059591e+00;1.818861e+00;1.424049e+00;-3.121626e-01;-6.875432e-03;-8.311059e-02
'unknown';0.020000;-1.021436e+01;-3.798281e+00;1.912531e+01;1.638534e+01;1.951877e+01;-1.074366e+00;-1.651077e+01;-1.581174e+01;-1.703501e+01;-2.360262e+01;2.953838e+00;5.633954e+00;1.200921e+02;-9.632994e-01;1.681101e-01;2.492780e+00;-1.753559e-01;-2.527690e+00;-3.777619e+00;-3.708763e+00;7.163486e-01;4.076095e-01;8.474534e-01;-4.133006e-01;1.399729e+00;-5.373756e-01;6.662084e-01;5.810684e-01;2.553055e-01;3.409224e-01;-2.427339e-01;1.279963e+00;2.071233e+00;2.639339e+00;2.513702e+00;2.041064e+00;-8.009804e-01;-1.041498e+00;2.275118e-01
'unknown';0.030000;-1.108201e+01;-1.609903e+00;2.490167e+01;2.394632e+01;2.332867e+01;-2.185385e+00;-1.711729e+01;-8.265716e+00;5.922785e-01;1.646662e-01;6.060341e+00;7.692008e+00;1.196891e+02;-2.166234e-01;1.014305e+00;2.826393e+00;6.187021e-01;-2.107934e+00;-9.946513e-01;-1.639610e-01;3.971638e+00;2.017766e+00;1.886795e+00;-6.386154e-01;1.110650e+00;-4.697281e-01;1.508517e+00;8.741640e-01;-3.737400e-01;-4.726963e-01;-8.735817e-01;9.558581e-01;2.267154e+00;2.057909e+00;1.587535e+00;9.304859e-01;-1.087485e+00;-1.884297e+00;7.505417e-01
'unknown';0.040000;-1.316888e+01;-8.380128e+00;2.174828e+01;2.118165e+01;2.149833e+01;8.526258e+00;-1.817986e+00;6.401024e+00;6.275457e+00;-4.820738e+00;-6.929819e+00;-1.893838e+00;1.186087e+02;2.231694e+00;2.105685e+00;1.683578e+00;-9.341862e-01;-3.791259e+00;-2.015632e-01;9.566560e-01;5.448849e+00;5.560822e+00;5.884532e+00;-2.378969e+00;-3.148262e+00;9.921837e-01;1.722141e+00;1.400209e+00;-4.534958e-01;6.111126e-02;-4.459601e-02;2.425524e-01;1.051527e+00;-4.010670e-01;3.229880e-02;2.559534e-01;1.062396e-01;-1.038494e+00;8.918135e-01
'unknown';0.050000;-1.129169e+01;-4.002095e+00;2.614232e+01;2.067628e+01;1.852097e+01;6.328500e+00;-8.064155e+00;3.909862e+00;-8.254302e-01;-4.671596e+00;-9.059669e-01;3.673923e+00;1.188266e+02;5.122392e+00;4.003231e+00;9.064779e-01;-2.768606e+00;-6.351284e+00;-3.034439e+00;1.493677e+00;4.356757e+00;2.527106e+00;1.792068e+00;-2.795404e+00;-4.378232e+00;2.657935e+00;7.987751e-01;7.080590e-01;-4.773430e-01;1.141783e+00;1.908500e+00;1.000167e+00;7.851681e-01;-1.792847e+00;-9.697106e-01;-1.132977e+00;4.402485e-01;-1.273144e-01;4.218254e-01
'unknown';0.060000;1.048941e+00;7.926241e+00;2.692288e+01;1.334943e+01;2.966328e+00;-6.339125e+00;-1.625406e+01;5.344717e+00;1.147796e+01;8.238166e+00;-5.457851e+00;-8.098312e+00;1.254843e+02;4.977899e+00;5.674692e+00;1.185259e+00;1.823855e+00;-6.289951e-01;-1.544963e+00;7.200543e-01;-1.481546e+00;3.144338e-01;2.174584e+00;1.196292e+00;-1.048300e+00;2.357861e+00;-1.071049e+00;-7.274518e-01;-1.319670e-01;2.170716e+00;3.658907e+00;2.295663e+00;7.778303e-01;-2.021225e+00;-1.557098e+00;-1.874195e+00;9.537631e-01;1.271239e+00;-6.124145e-01
'unknown';0.070000;7.421036e+00;1.025307e+01;2.684676e+01;1.401939e+01;8.382535e-01;-9.924888e+00;-2.430868e+00;1.404623e+01;1.062656e+01;2.595556e+00;-8.652661e+00;-1.109691e+01;1.295410e+02;2.404150e+00;2.770097e+00;6.888378e-01;4.948594e+00;5.853435e+00;4.677886e+00;3.880180e+00;-1.527397e+00;-2.075927e-01;-1.923117e+00;-2.250029e-01;-5.759025e-01;9.565605e-01;-2.181091e+00;-1.815746e+00;-1.515570e-01;1.221287e+00;3.100930e+00;2.546989e+00;6.082749e-03;-1.104169e+00;-3.076902e-01;-5.858776e-01;1.163137e+00;1.788548e+00;-1.198505e+00
'unknown';0.080000;2.364244e+00;1.286575e+01;2.732236e+01;3.362936e+01;2.719471e+01;8.928135e+00;-1.034358e+00;-6.074886e+00;2.121632e+00;2.418604e+00;2.924986e+00;2.500809e-01;1.250408e+02;-1.764430e+00;-9.150063e-01;1.132563e+00;6.060795e+00;8.400918e+00;7.420590e+00;3.652556e+00;-1.715199e+00;-8.573176e-01;-1.628849e+00;1.104646e+00;1.306768e+00;-1.219202e+00;-1.272524e+00;-1.595768e+00;-4.586403e-01;-1.962703e+00;-9.599174e-01;-4.133283e-01;-1.169343e+00;7.592186e-01;1.223405e+00;-2.432288e-01;1.876973e-01;1.087523e+00;-6.023904e-01
'unknown';0.090000;7.140721e-02;7.378632e+00;2.938677e+01;3.527928e+01;3.567395e+01;2.208430e+01;3.726896e+00;1.982678e+00;2.814770e+00;-1.137740e+01;-6.222400e+00;-3.379786e+00;1.238311e+02;-2.411897e+00;-1.780648e+00;1.750410e-01;1.219357e+00;4.638411e+00;5.217731e+00;5.784030e-02;-1.047259e+00;1.574530e+00;7.643968e-01;3.066102e+00;3.386976e+00;-1.546061e+00;5.216335e-01;-1.502736e-01;-7.561153e-01;-3.883561e+00;-4.055149e+00;-3.442728e+00;-1.856204e+00;9.765165e-01;1.707886e+00;1.088266e+00;3.643379e-01;8.287246e-01;3.740493e-01
